address,city,conditions,email,name,phone,self_description,source_url,specialties,state,tags,therapy_types,website_link,zipcode
"Wausau Comprehensive Treatment Center, , 210 Washington Street, , , Wausau, WI 54403, , map, , , (534) 344-3598, Wausau Comprehensive Treatment Center, , 210 Washington Street, , , Wausau, WI 54403, , map, , , (534) 344-3598, Wausau Comprehensive Treatment Center, , 210 Washington Street, , , Wausau, WI 54403, , , , (534) 344-3598",Wausau Comprehensive Treatment Center   210 Washington Street     Wausau,"Medication Management, Substance Use, Addiction, Chronic Relapse, Coping Skills, Drug Abuse, Chronic Impulsivity, Codependency, Opioid Addiction, Methadone, Buprenorphine, Stress, Suboxone, Naltrexone",,Wausau Comprehensive Treatment Center,,"Located in Wausau, Wisconsin, Wausau Comprehensive Treatment Center (CTC) provides medication-assisted treatment (MAT) services for adults age 18 and older who are battling opioid addictions. Unlike traditional methadone clinics that offer just one type of medication, our treatment center offers several options, including methadone, buprenorphine, Suboxone, and naltrexone. Our experts carefully select a medication that is optimal for each patient and continually monitor the dosage to help ensure that the patient stays on track with their treatment goals. MAT has been acknowledged as an effective way of promoting long-term recovery from opioid addiction by highly respected organizations, such as the National Institute on Drug Abuse (NIDA). Decades of research shows that people who participate in MAT services for opioid addictions have better recovery outcomes than people who do not.   MAT incorporates the use of both prescription medication and therapy sessions to address the mental and physical elements of opioid addiction. You can participate in group and individual counseling, both of which can provide you with the opportunity to explore your substance use history, consider your goals for the future, and discuss any concerns you may have. In group sessions, you can connect with other adults at Wausau CTC who are facing similar challenges and use newly formed bonds as an added source of support during treatment. Individual counseling sessions can allow you to engage in deep discussions with a professional in a confidential, one-on-one setting. We encourage you to be present and make the most of your time at our treatment center, as we believe that the more invested you are in your own recovery, the more successful you can be. You can play an active role in your treatment by speaking up in counseling sessions and asking questions that may arise concerning opioid addiction, the MAT process, or any other relevant topics.   Your experience at Wausau CTC will begin with an initial assessment. Our professionals will use the results of this assessment, along with verbal feedback you provide, to craft an individualized treatment plan that is customized to your specific needs. You can feel comfortable knowing that our staff members will strive to support you physically, mentally, and emotionally during your time at our treatment center. While medication can help alleviate the physical symptoms of withdrawal, it takes commitment to addressing the psychological factors of addiction to fully heal. When you are ready to seek treatment, our compassionate staff is here to encourage you as you work to face challenges, overcome obstacles, and achieve lasting recovery.  ",https://www.psychologytoday.com/us/treatment-rehab/wausau-comprehensive-treatment-center-wausau-wi/482541,"Medication Management, Substance Use, Addiction, Chronic Relapse, Coping Skills, Drug Abuse, Chronic Impulsivity, Codependency, Opioid Addiction, Methadone, Buprenorphine, Stress, Suboxone, Naltrexone",WI,"tms,erp,add,psychiatrist,therapist,mental health professional,clinic","Medication Management, Substance Use, Addiction, Chronic Relapse, Coping Skills, Drug Abuse, Chronic Impulsivity, Codependency, Opioid Addiction, Methadone, Buprenorphine, Stress, Suboxone, Naltrexone",https://www.psychologytoday.com/us/profile/482541/website,54403
", 13850 West Capitol Drive, , , Brookfield, WI 53005, , map, , , (262) 686-4598, , 13850 West Capitol Drive, , , Brookfield, WI 53005, , map, , , (262) 686-4598, , 13850 West Capitol Drive, , , Brookfield, WI 53005, , , , (262) 686-4598",13850 West Capitol Drive     Brookfield,"Substance Use, Alcohol Use, Addiction, Chronic Relapse, Acceptance and Commitment (ACT), Art Therapy, Attachment-based, Biofeedback, Cognitive Behavioral (CBT), Dialectical Behavior (DBT), EMDR, Experiential Therapy, Trauma Focused",,Windrose Counseling,,"Windrose Counseling by Windrose Recovery supports you in becoming who you want to be. Here, we offer comprehensive, personalized holistic treatment for substance dependence that addresses every aspect of your journey. Whether you are just starting your recovery or transitioning to the next step in treatment, we offer an outpatient program that will help you identify your goals while co-creating an effective and accessible plan. Windrose Counseling’s Intensive Outpatient Program (IOP) provides the support and guidance to determine what will make your life healthy and fulfilling. Our outpatient program focuses on collaborating with you to implement holistic, evidence-based treatment uniquely tailored to address your needs.   At Windrose Counseling, our individual sessions aim to provide profound insights and significant relief. Individual therapy provides a unique opportunity to develop a safe and supportive connection, highlighting where you can grow while helping you understand the barriers to your healing.   Windrose Counseling provides opportunities for powerful and impactful group experiences. Joining with other individuals who are seeking answers and insights to their healing can reveal different and valuable perspectives about yourself and your path to wellness.  ",https://www.psychologytoday.com/us/treatment-rehab/windrose-counseling-brookfield-wi/960527,"Substance Use, Alcohol Use, Addiction, Chronic Relapse, Acceptance and Commitment (ACT), Art Therapy, Attachment-based, Biofeedback, Cognitive Behavioral (CBT), Dialectical Behavior (DBT), EMDR, Experiential Therapy, Trauma Focused",WI,"tms,biofeedback,erp,add,psychiatrist,therapist,mental health professional,clinic","Substance Use, Alcohol Use, Addiction, Chronic Relapse, Acceptance and Commitment (ACT), Art Therapy, Attachment-based, Biofeedback, Cognitive Behavioral (CBT), Dialectical Behavior (DBT), EMDR, Experiential Therapy, Trauma Focused",https://www.psychologytoday.com/us/profile/960527/website,53005
"Midwest Detox, , 13850 West Capitol Drive, , , Brookfield, WI 53005, , map, , , (414) 441-2938, Midwest Detox, , 13850 West Capitol Drive, , , Brookfield, WI 53005, , map, , , (414) 441-2938, Midwest Detox, , 13850 West Capitol Drive, , , Brookfield, WI 53005, , , , (414) 441-2938",Midwest Detox   13850 West Capitol Drive     Brookfield,"Substance Use, Alcohol Use, Drug Abuse, Addiction, Chronic Relapse, Medical Detox, Addiction, Alcohol Rehab, Detox Program, Drug Rehab, Dual Diagnosis, Medication-Assisted Detox, Opiate Drug Detox, Substance Use, Intensive Outpatient Program, Acceptance and Commitment (ACT), Art Therapy, Attachment-based, Biofeedback, Cognitive Behavioral (CBT), Dialectical Behavior (DBT), EMDR, Experiential Therapy, Family Systems, Internal Family Systems (IFS), Interpersonal, Mindfulness-Based (MBCT), Motivational Interviewing, Neurofeedback, Psychodynamic, Somatic, Trauma Focused",,Midwest Detox,,"Midwest Detox is a premier Drug and alcohol detox center in Brookfield, WI, near Milwaukee, providing a safe landing for a private stabilization experience with respect, dignity and expertise.                                                                                                   Here, we provide the highest level of comfort, safety and respect throughout the stabilization experience, ensuring privacy and dignity to each individual by providing an elegant private room and full ensuite bathroom. Our expert team of addiction doctors, nurses, & clinicians respectfully anticipate any and all needs of each patient throughout withdrawal stabilization as we work together to reach recovery.                                                                                                                            All this takes place at our state-of-the-art location in Brookfield, Wisconsin, just outside Milwaukee, with convenient access to cities throughout the Midwest.      Most private insurances accepted. No Medicaid or Medicare. Self-pay options available.   Rather than treating alcohol and drug dependence as a standalone issue, our experts work with you to address the source of the problem and co-create a sustainable plan towards wellness and recovery. By thoroughly assessing your medical, psychological and emotional needs, together we will set you on the path of your healing journey.   Most private/commercial insurances accepted. No Medicaid or Medicare. Self-pay options available. To learn more, or to speak with one of our compassionate team members, please call us or visit midwestdetox.com  ",https://www.psychologytoday.com/us/treatment-rehab/midwest-detox-brookfield-wi/813080,"Substance Use, Alcohol Use, Drug Abuse, Addiction, Chronic Relapse, Medical Detox, Addiction, Alcohol Rehab, Detox Program, Drug Rehab, Dual Diagnosis, Medication-Assisted Detox, Opiate Drug Detox, Substance Use, Intensive Outpatient Program, Acceptance and Commitment (ACT), Art Therapy, Attachment-based, Biofeedback, Cognitive Behavioral (CBT), Dialectical Behavior (DBT), EMDR, Experiential Therapy, Family Systems, Internal Family Systems (IFS), Interpersonal, Mindfulness-Based (MBCT), Motivational Interviewing, Neurofeedback, Psychodynamic, Somatic, Trauma Focused",WI,"tms,neurofeedback,biofeedback,erp,add,psychiatrist,therapist,mental health professional,clinic","Substance Use, Alcohol Use, Drug Abuse, Addiction, Chronic Relapse, Medical Detox, Addiction, Alcohol Rehab, Detox Program, Drug Rehab, Dual Diagnosis, Medication-Assisted Detox, Opiate Drug Detox, Substance Use, Intensive Outpatient Program, Acceptance and Commitment (ACT), Art Therapy, Attachment-based, Biofeedback, Cognitive Behavioral (CBT), Dialectical Behavior (DBT), EMDR, Experiential Therapy, Family Systems, Internal Family Systems (IFS), Interpersonal, Mindfulness-Based (MBCT), Motivational Interviewing, Neurofeedback, Psychodynamic, Somatic, Trauma Focused",https://www.psychologytoday.com/us/profile/813080/website,53005
", 2357 West Mason Street, , , Green Bay, WI 54303, , map, , , (833) 932-1358, , 2357 West Mason Street, , , Green Bay, WI 54303, , map, , , (833) 932-1358, , 2357 West Mason Street, , , Green Bay, WI 54303, , , , (833) 932-1358",2357 West Mason Street     Green Bay,"Medication Management, Addiction, Drug Abuse, Substance Use",,Green Bay Comprehensive Treatment Center,,"Green Bay Comprehensive Treatment Center (CTC), conveniently located in Green Bay, Wisconsin, is a leading provider of medication-assisted treatment (MAT) for adults age 18 and older. MAT is designed to help people who are struggling with addictions to heroin, prescription painkillers, and other opioids. By easing cravings and painful withdrawal symptoms, the medications used in MAT can help people find recovery from opioid addictions. Unlike many methadone clinics that offer only one medication option, we can prescribe buprenorphine, Suboxone, and Vivitrol, in addition to methadone. These medications are FDA-approved to treat opioid use disorder and have been shown to reduce the likelihood of relapse. During their time in treatment, patients also have the opportunity to participate in group and individual counseling sessions. This component of MAT promotes support and encouragement throughout the recovery journey.   If you have an addiction to opioids and are seeking help, you can call our admissions team to schedule an initial appointment. When you arrive at our treatment center, you will undergo a comprehensive assessment, a urine drug screen, and a medical screening as part of the intake process. Based on the assessment results, you may receive a prescription for methadone, buprenorphine, Suboxone, or Vivitrol. As you progress through treatment, members of our medical staff will monitor your progress and may adjust your medication and dosage as needed. These medications are effective treatments for opioid use disorder, but medication alone cannot address the complex emotional and behavioral aspects of addiction. MAT also includes individual and group counseling sessions so that people can learn healthy coping skills and tools for lasting recovery. These therapy sessions can help you find a support network, gain valuable insights into personal triggers, and learn how to live a healthier, happier life.   At Green Bay CTC in Green Bay, Wisconsin, we understand that every person who seeks opioid addiction treatment has unique experiences, needs, and goals for treatment. We collaborate with our patients and encourage them to take ownership of their recovery process. Counseling is a significant component of medication-assisted treatment and allows patients to explore why they began to use opioids in the first place. In individual and group therapy sessions, people can gain insight into their struggles with addiction, connect with others who have similar stories, and learn positive lifestyle changes to promote transformative growth. It takes courage to seek opioid addiction treatment, and we deeply appreciate your commitment to self-improvement and long-term recovery. At Green Bay CTC, we strive to make every patient’s time in MAT a beneficial and meaningful experience. If you are looking for opioid addiction treatment, we urge you to give us a call. A member of our caring admissions team can help you make an appointment today.  ",https://www.psychologytoday.com/us/treatment-rehab/green-bay-comprehensive-treatment-center-green-bay-wi/480281,"Medication Management, Addiction, Drug Abuse, Substance Use",WI,"tms,erp,add,psychiatrist,therapist,mental health professional,clinic","Medication Management, Addiction, Drug Abuse, Substance Use",https://www.psychologytoday.com/us/profile/480281/website,54303
", 1030 Oak Ridge Drive, , Unit C, , Eau Claire, WI 54701, , map, , , (715) 260-6686, Gateways Counseling of Marshfield, , 1905 South Central Avenue, , , Marshfield, WI 54449, , map, , , , 1030 Oak Ridge Drive, , Unit C, , Eau Claire, WI 54701, , map, , , (715) 260-6686, Gateways Counseling of Marshfield, , 1905 South Central Avenue, , , Marshfield, WI 54449, , map, , , , 1030 Oak Ridge Drive, , Unit C, , Eau Claire, WI 54701, , , , (715) 260-6686, Gateways Counseling of Marshfield, , 1905 South Central Avenue, , , Marshfield, WI 54449, , , , (715) 260-6686",1030 Oak Ridge Drive   Unit C   Eau Claire,"Addiction, ADHD, Alcohol Use, Anger Management, Antisocial Personality, Anxiety, Behavioral Issues, Bipolar Disorder, Borderline Personality (BPD), Caregivers, Chronic Impulsivity, Chronic Pain, Codependency, Coping Skills, Depression, Dissociative Disorders (DID), Domestic Abuse, Domestic Violence, Dual Diagnosis, Eating Disorders, Gambling, Grief, Marital and Premarital, Sexual Abuse, Trauma and PTSD, 12 Step Program, Addiction, Continuing Care, Depression, Dual Diagnosis, Substance Use, Intensive Outpatient Program, Acceptance and Commitment (ACT), Cognitive Behavioral (CBT), Dialectical Behavior (DBT), EMDR, Trauma Focused",,Gateways Counseling Services of Eau Claire,,"We treat Mental Health and Substance Abuse clients throughout the state of Wisconsin through in person or telehealth services. Appointments available within one week and we accept most insurances including Medicare and forward health.   We assist you in identifying your strengths and help you see how those can get you were you want to be.   The name Gateways was selected by our founder to symbolize what we wish to accomplish here at Gateways. Walking by your side guiding you through the gates separating surviving to thriving,  ",https://www.psychologytoday.com/us/treatment-rehab/gateways-counseling-services-of-eau-claire-eau-claire-wi/1525942,"Addiction, ADHD, Alcohol Use, Anger Management, Antisocial Personality, Anxiety, Behavioral Issues, Bipolar Disorder, Borderline Personality (BPD), Caregivers, Chronic Impulsivity, Chronic Pain, Codependency, Coping Skills, Depression, Dissociative Disorders (DID), Domestic Abuse, Domestic Violence, Dual Diagnosis, Eating Disorders, Gambling, Grief, Marital and Premarital, Sexual Abuse, Trauma and PTSD, 12 Step Program, Addiction, Continuing Care, Depression, Dual Diagnosis, Substance Use, Intensive Outpatient Program, Acceptance and Commitment (ACT), Cognitive Behavioral (CBT), Dialectical Behavior (DBT), EMDR, Trauma Focused",WI,"tms,erp,depression,anxiety,ptsd,adhd,add,chronic pain,psychiatrist,therapist,mental health professional,behavioral health,clinic,telehealth","Addiction, ADHD, Alcohol Use, Anger Management, Antisocial Personality, Anxiety, Behavioral Issues, Bipolar Disorder, Borderline Personality (BPD), Caregivers, Chronic Impulsivity, Chronic Pain, Codependency, Coping Skills, Depression, Dissociative Disorders (DID), Domestic Abuse, Domestic Violence, Dual Diagnosis, Eating Disorders, Gambling, Grief, Marital and Premarital, Sexual Abuse, Trauma and PTSD, 12 Step Program, Addiction, Continuing Care, Depression, Dual Diagnosis, Substance Use, Intensive Outpatient Program, Acceptance and Commitment (ACT), Cognitive Behavioral (CBT), Dialectical Behavior (DBT), EMDR, Trauma Focused",https://www.psychologytoday.com/us/profile/1525942/website,54701
", 1351 Ontario Road, , , Green Bay, WI 54311, , map, , , (920) 240-8215, , 1351 Ontario Road, , , Green Bay, WI 54311, , map, , , (920) 240-8215, , 1351 Ontario Road, , , Green Bay, WI 54311, , , , (920) 240-8215",1351 Ontario Road     Green Bay,"Anxiety, Depression, Bipolar Disorder, Suicidal Ideation, Trauma and PTSD, Detox Program, Dual Diagnosis, Psychiatric Residential, Residential Inpatient, Young Adult Residential, Intensive Outpatient Program, Long Term (>30 Days) Residential, Short Term (<30 Days) Residential, Cognitive Behavioral (CBT), Dialectical Behavior (DBT)",,Willow Creek Behavioral Health,,"We know you have a choice of behavioral health care providers and we strive every day to earn your trust and respect. What makes Willow Creek Behavioral Health unique is our commitment to people and our belief that every person who comes to us will be treated like a family member.   We provide an assessment, diagnosis, and rapid stabilization of acute psychiatric issues. Hospitalization at Willow Creek provides a place of hope and healing. We provide around-the-clock care with physician supervision, medication management, and group therapy, seven days a week.   Inpatient mental health hospitalization offers a safe, structured environment. Our Acute Inpatient Psychiatric Program is a short-term program that provides specific treatment for children and adolescents (ages 5-17), adults, and older adults. We also offer outpatient care.  ",https://www.psychologytoday.com/us/treatment-rehab/willow-creek-behavioral-health-green-bay-wi/1565760,"Anxiety, Depression, Bipolar Disorder, Suicidal Ideation, Trauma and PTSD, Detox Program, Dual Diagnosis, Psychiatric Residential, Residential Inpatient, Young Adult Residential, Intensive Outpatient Program, Long Term (>30 Days) Residential, Short Term (<30 Days) Residential, Cognitive Behavioral (CBT), Dialectical Behavior (DBT)",WI,"tms,erp,depression,anxiety,ptsd,add,psychiatrist,therapist,mental health professional,behavioral health,clinic,hospital","Anxiety, Depression, Bipolar Disorder, Suicidal Ideation, Trauma and PTSD, Detox Program, Dual Diagnosis, Psychiatric Residential, Residential Inpatient, Young Adult Residential, Intensive Outpatient Program, Long Term (>30 Days) Residential, Short Term (<30 Days) Residential, Cognitive Behavioral (CBT), Dialectical Behavior (DBT)",https://www.psychologytoday.com/us/profile/1565760/website,54311
", 4351 W College Avenue, , Suite 300, , Appleton, WI 54914, , map, , , (833) 932-0919, , 4351 W College Avenue, , Suite 300, , Appleton, WI 54914, , map, , , (833) 932-0919, , 4351 W College Avenue, , Suite 300, , Appleton, WI 54914, , , , (833) 932-0919",4351 W College Avenue   Suite 300   Appleton,"Obsessive-Compulsive (OCD), Anxiety, Depression, Addiction, Eating Disorders, Mood Disorders, Trauma and PTSD, Behavioral Activation, Cognitive Behavioral (CBT), Dialectical Behavior (DBT), Exposure Response Prevention (ERP), Prolonged Exposure Therapy, Trauma Focused",,Rogers Behavioral Health,,"Rogers Behavioral Health's Appleton area clinic offers highly specialized partial hospitalization and intensive outpatient care for adults and adolescents struggling with OCD and anxiety, depression and other mood disorders, eating disorders, mental health and addiction, and trauma/PTSD. All patients have access to a board-certified psychiatrist and a multidisciplinary team of mental health experts. Rogers Connect Care is a telehealth treatment option offered in IL, MN, TN, and WI.   Rogers Behavioral Health is a nationally recognized, not-for-profit provider of highly specialized psychiatric care with locations in a growing network of communities across the U.S. Backed by more than a century of experience, Rogers is leading the way on measurement-based care and use of clinical outcomes.   For more than 20 years, Rogers has been measuring treatment outcomes and sharing the results in the most transparent, scientifically reliable way possible. Nearly 30,000 patients have participated to date. Rogers conducts approximately one million patient assessments each year: taken at the start of treatment, at various points of care, at discharge, and 12 months after care to show that gains made in treatment are maintained.  ",https://www.psychologytoday.com/us/treatment-rehab/rogers-behavioral-health-appleton-wi/785787,"Obsessive-Compulsive (OCD), Anxiety, Depression, Addiction, Eating Disorders, Mood Disorders, Trauma and PTSD, Behavioral Activation, Cognitive Behavioral (CBT), Dialectical Behavior (DBT), Exposure Response Prevention (ERP), Prolonged Exposure Therapy, Trauma Focused",WI,"tms,erp,depression,ocd,anxiety,ptsd,add,psychiatrist,therapist,mental health professional,behavioral health,clinic,hospital,telehealth","Obsessive-Compulsive (OCD), Anxiety, Depression, Addiction, Eating Disorders, Mood Disorders, Trauma and PTSD, Behavioral Activation, Cognitive Behavioral (CBT), Dialectical Behavior (DBT), Exposure Response Prevention (ERP), Prolonged Exposure Therapy, Trauma Focused",https://www.psychologytoday.com/us/profile/785787/website,54914
", 926 Willard Drive, , Suite 136, , Green Bay, WI 54304, , map, , , (920) 667-0185, , 926 Willard Drive, , Suite 136, , Green Bay, WI 54304, , map, , , (920) 667-0185, , 926 Willard Drive, , Suite 136, , Green Bay, WI 54304, , , , (920) 667-0185",926 Willard Drive   Suite 136   Green Bay,"ADHD, Anxiety, Behavioral Issues, Bipolar Disorder, Child, Codependency, Coping Skills, Depression, Domestic Violence, Dual Diagnosis, Emotional Disturbance, Grief, Life Transitions, Marital and Premarital, Obsessive-Compulsive (OCD), Oppositional Defiance (ODD), Peer Relationships, Pregnancy, Prenatal, Postpartum, School Issues, Self-Harming, Sexual Abuse, Stress, Transgender, Trauma and PTSD, Women's Issues, Cognitive Behavioral (CBT), EMDR, Trauma Focused",,Lighthouse Counseling Center llc,,"At Lighthouse Counseling Center, we are dedicated to supporting individuals, couples, and families through their unique journeys.  Our diverse team of experienced clinicians specializes in a wide range of areas to meet the unique needs of our clients, who span from age 5 to adulthood.  We support individuals navigating various life challenges, including grief, life transitions, relationship concerns, trauma, depression, anxiety, and behavioral issues. Our therapist have expertise in LGBTQ+ issues, obsessive compulsive disorder (OCD), bipolar disorders, mood disorders, and personality disorders.  Our goal is to offer strength through every storm and light in every session, creating a compassionate and affirming environment where clients can work through their challenges and achieve personal growth.   At Lighthouse Counseling Center, our approach to treatment is integrative and client-centered, ensuring that each person receives personalized care tailored to their needs. We offer individual, couples, and family counseling, utilizing evidence-based practices to address a variety of concerns including Eye Movement Desensitization and Reprocessing (EMDR) therapy, Cognitive Behavioral Therapy (CBT), Dialectical Behavioral Therapy (DBT), Solution-Focused Brief Therapy (SFBT),  Internal Family Systems (IFS), Trauma Focused-Cognitive Behavioral Therapy (TF-CBT), Family Systems Therapy, Gottman Method, and Polyvagal Therapy.   We understand that seeking help can be a significant and sometimes daunting step, and we want you to know that you don’t have to navigate this journey alone. At Lighthouse Counseling Center, our team is here to provide compassionate support and guidance as you work through your challenges. Whether you’re facing personal struggles, relationship issues, or need support for your family, we are dedicated to creating a safe and welcoming space where you can explore your thoughts and feelings. We invite you to reach out and begin a conversation with us. Taking the first step towards change is a courageous decision, and we are here to walk alongside you every step of the way.  ",https://www.psychologytoday.com/us/treatment-rehab/lighthouse-counseling-center-llc-green-bay-wi/1359263,"ADHD, Anxiety, Behavioral Issues, Bipolar Disorder, Child, Codependency, Coping Skills, Depression, Domestic Violence, Dual Diagnosis, Emotional Disturbance, Grief, Life Transitions, Marital and Premarital, Obsessive-Compulsive (OCD), Oppositional Defiance (ODD), Peer Relationships, Pregnancy, Prenatal, Postpartum, School Issues, Self-Harming, Sexual Abuse, Stress, Transgender, Trauma and PTSD, Women's Issues, Cognitive Behavioral (CBT), EMDR, Trauma Focused",WI,"tms,erp,depression,ocd,anxiety,ptsd,adhd,add,psychiatrist,therapist,mental health professional,clinic,telehealth","ADHD, Anxiety, Behavioral Issues, Bipolar Disorder, Child, Codependency, Coping Skills, Depression, Domestic Violence, Dual Diagnosis, Emotional Disturbance, Grief, Life Transitions, Marital and Premarital, Obsessive-Compulsive (OCD), Oppositional Defiance (ODD), Peer Relationships, Pregnancy, Prenatal, Postpartum, School Issues, Self-Harming, Sexual Abuse, Stress, Transgender, Trauma and PTSD, Women's Issues, Cognitive Behavioral (CBT), EMDR, Trauma Focused",https://www.psychologytoday.com/us/profile/1359263/website,54304
", 500 N 3rd Street, , , Wausau, WI 54403, , map, , , (715) 801-2840, , 500 N 3rd Street, , , Wausau, WI 54403, , map, , , (715) 801-2840, , 500 N 3rd Street, , , Wausau, WI 54403, , , , (715) 801-2840",500 N 3rd Street     Wausau,"Addiction, Substance Use, Coping Skills, Alcohol Use, Anxiety, Depression, Dual Diagnosis, Thinking Disorders, Addiction, Substance Use, Acceptance and Commitment (ACT), Cognitive Behavioral (CBT), Dialectical Behavior (DBT)",,Rogers Behavioral Health,,"Rogers Behavioral Health's Wausau clinic offers highly specialized partial hospitalization care for adults struggling with mental health and addiction and adults and adolescents experiencing repetitive negative thoughts, avoiding activities they once enjoyed, having difficulty managing emotions, or experiencing another challenging mental health symptom, All patients have access to a board-certified psychiatrist and a multidisciplinary team of mental health experts.   Rogers Behavioral Health is a nationally recognized, not-for-profit provider of highly specialized psychiatric care with locations in a growing network of communities across the U.S. Backed by more than a century of experience, Rogers is leading the way on measurement-based care and use of clinical outcomes.   For more than 20 years, Rogers has been measuring treatment outcomes and sharing the results in the most transparent, scientifically reliable way possible. Nearly 30,000 patients have participated to date. Rogers conducts approximately one million patient assessments each year: taken at the start of treatment, at various points of care, at discharge, and 12 months after care to show that gains made in treatment are maintained.  ",https://www.psychologytoday.com/us/treatment-rehab/rogers-behavioral-health-wausau-wi/1419505,"Addiction, Substance Use, Coping Skills, Alcohol Use, Anxiety, Depression, Dual Diagnosis, Thinking Disorders, Addiction, Substance Use, Acceptance and Commitment (ACT), Cognitive Behavioral (CBT), Dialectical Behavior (DBT)",WI,"tms,erp,depression,anxiety,add,psychiatrist,therapist,mental health professional,behavioral health,clinic,hospital,telehealth","Addiction, Substance Use, Coping Skills, Alcohol Use, Anxiety, Depression, Dual Diagnosis, Thinking Disorders, Addiction, Substance Use, Acceptance and Commitment (ACT), Cognitive Behavioral (CBT), Dialectical Behavior (DBT)",https://www.psychologytoday.com/us/profile/1419505/website,54403
", 13850 West Capitol Drive, , , Brookfield, WI 53005, , map, , , (262) 588-4718, , 13850 West Capitol Drive, , , Brookfield, WI 53005, , map, , , (262) 588-4718, , 13850 West Capitol Drive, , , Brookfield, WI 53005, , , , (262) 588-4718",13850 West Capitol Drive     Brookfield,"Addiction, Alcohol Use, Anxiety, Chronic Relapse, Coping Skills, Depression, Dual Diagnosis, Stress, Substance Use, Trauma and PTSD, Addiction, Adult Residential, Alcohol Rehab, Detox Program, Drug Rehab, Dual Diagnosis, Opiate Drug Detox, Residential Inpatient, Residential Relapse Recovery, Substance Use, Intensive Outpatient Program, Long Term (>30 Days) Residential, Acceptance and Commitment (ACT), Attachment-based, Cognitive Behavioral (CBT), Dialectical Behavior (DBT), EMDR, Neurofeedback, Trauma Focused",,Wellbrook Recovery,,"Wellbrook Recovery is a premier, high-quality, Wisconsin addiction treatment center, providing a unique recovery experience for those struggling with substance use. We offer a full continuum of care, and a complete set of therapy programs in our state-of-the-art facility in Brookfield, Wisconsin, including:  Inpatient Medically Guided Detoxification; Inpatient Residential Longer term Care; Intensive Outpatient (IOP). Located in Brookfield, WI, a beautiful suburb of Milwaukee, we treat patients from all across Wisconsin, as well as from nearby Illinois and beyond. We accept most private/commercial insurances and also offer self-pay plan options.   Recognizing the importance of addiction care which brings the individual from active addiction through to post-rehab recovery maintenance, we provide a full-continuum of care, with inpatient and outpatient services, as well as aftercare and alumni programs, all structured according to the individual’s needs. We know that each person’s addiction struggle is unique. After coming to understand their full story well, we design a treatment plan which addresses any underlying causes for the addiction, utilizing the right therapies, and proper level of care. From day one, we work with you to plan for your life after rehab. Returning to daily life can be intimidating, we prepare all the tools to empower lasting recovery, developing an individualized plan for each client to help them manage their next steps. At Wellbrook we are equipped with the most up-to-date and varied set of therapies and treatment tools. Often one who is suffering from addiction is also struggling with some underlying emotional or mental health issues such as anxiety, low self-esteem, PTSD and depression. We identify and treat the root causes, along with tools to sooth and overcome them. Come get Effective Help.   Wellbrook Recovery's addiction treatment center offers a unique addiction rehab program, with advanced clinical and holistic treatment methods provided in an individualized manner in our personal and warm environment. We dedicate all of our resources and expertise to help every individual in our care find peace and lasting recovery by providing them a tailored program with all levels of treatment. Our complete care addresses all aspects of the addiction, rehabilitating their physical, mental, and emotional health. Let our expert staff help bring you to be your best self, with comfort, dignity, privacy and professionalism, and transition into recovery with first-rate excellence. We treat the person, not just the addiction. Wellbrook offers a recovery experience like no other in Wisconsin.  ",https://www.psychologytoday.com/us/treatment-rehab/wellbrook-recovery-brookfield-wi/1248033,"Addiction, Alcohol Use, Anxiety, Chronic Relapse, Coping Skills, Depression, Dual Diagnosis, Stress, Substance Use, Trauma and PTSD, Addiction, Adult Residential, Alcohol Rehab, Detox Program, Drug Rehab, Dual Diagnosis, Opiate Drug Detox, Residential Inpatient, Residential Relapse Recovery, Substance Use, Intensive Outpatient Program, Long Term (>30 Days) Residential, Acceptance and Commitment (ACT), Attachment-based, Cognitive Behavioral (CBT), Dialectical Behavior (DBT), EMDR, Neurofeedback, Trauma Focused",WI,"tms,neurofeedback,erp,depression,anxiety,ptsd,add,psychiatrist,therapist,mental health professional,clinic","Addiction, Alcohol Use, Anxiety, Chronic Relapse, Coping Skills, Depression, Dual Diagnosis, Stress, Substance Use, Trauma and PTSD, Addiction, Adult Residential, Alcohol Rehab, Detox Program, Drug Rehab, Dual Diagnosis, Opiate Drug Detox, Residential Inpatient, Residential Relapse Recovery, Substance Use, Intensive Outpatient Program, Long Term (>30 Days) Residential, Acceptance and Commitment (ACT), Attachment-based, Cognitive Behavioral (CBT), Dialectical Behavior (DBT), EMDR, Neurofeedback, Trauma Focused",https://www.psychologytoday.com/us/profile/1248033/website,53005
